Month_Index,Total_Revenue_NAD_000,Fixed_OPEX_NAD_000,Variable_OPEX_NAD_000,Total_OPEX_NAD_000,Depreciation_NAD_000,EBIT_NAD_000,Interest_Expense_NAD_000,Tax_Expense_NAD_000,NPAT_NAD_000,EBITDA_NAD_000,Total_Revenue_USD_000,Fixed_OPEX_USD_000,Variable_OPEX_USD_000,Total_OPEX_USD_000,Depreciation_USD_000,EBIT_USD_000,Interest_Expense_USD_000,Tax_Expense_USD_000,NPAT_USD_000,EBITDA_USD_000
21,0.0,387.5,319.3333333333333,706.8333333333333,82.81944444444444,-789.6527777777777,0.0,0.0,-789.6527777777777,-706.8333333333333,0.0,20.38400841662283,16.79817639838681,37.182184815009634,4.356625168040212,-41.53880998304985,0.0,0.0,-41.53880998304985,-37.182184815009634
22,0.0,387.5,319.3333333333333,706.8333333333333,82.81944444444444,-789.6527777777777,0.0,0.0,-789.6527777777777,-706.8333333333333,0.0,20.362585391487123,16.78052198283412,37.14310737432124,4.352046476323933,-41.495153850645174,0.0,0.0,-41.495153850645174,-37.14310737432124
23,0.0,387.5,319.3333333333333,706.8333333333333,82.81944444444444,-789.6527777777777,0.0,0.0,-789.6527777777777,-706.8333333333333,0.0,20.341207349081365,16.762904636920382,37.10411198600175,4.3474773986585005,-41.451589384660245,0.0,0.0,-41.451589384660245,-37.10411198600175
24,0.0,387.5,319.3333333333333,706.8333333333333,82.81944444444444,-789.6527777777777,0.0,0.0,-789.6527777777777,-706.8333333333333,0.0,20.319874147876245,16.745324244013283,37.065198391889524,4.342917904795199,-41.408116296684724,0.0,0.0,-41.408116296684724,-37.065198391889524
25,0.0,416.6666666666667,323.75,740.4166666666667,82.81944444444444,-823.2361111111112,0.0,0.0,-823.2361111111112,-740.4166666666667,0.0,21.70138888888889,16.861979166666668,38.563368055555564,4.313512731481482,-42.876880787037045,0.0,0.0,-42.876880787037045,-38.563368055555564
26,0.0,416.6666666666667,323.75,740.4166666666667,82.81944444444444,-823.2361111111112,0.0,0.0,-823.2361111111112,-740.4166666666667,0.0,21.678806798473815,16.844432882414154,38.52323968088797,4.309024164643311,-42.83226384553128,0.0,0.0,-42.83226384553128,-38.52323968088797
27,0.0,416.6666666666667,323.75,740.4166666666667,82.81944444444444,-823.2361111111112,0.0,0.0,-823.2361111111112,-740.4166666666667,0.0,21.65627165627166,16.826923076923077,38.48319473319474,4.30454492954493,-42.78773966273967,0.0,0.0,-42.78773966273967,-38.48319473319474
28,0.0,416.6666666666667,323.75,740.4166666666667,82.81944444444444,-823.2361111111112,0.0,0.0,-823.2361111111112,-740.4166666666667,0.0,21.633783316026307,16.80944963655244,38.44323295257875,4.3000749971154955,-42.74330794969424,0.0,0.0,-42.74330794969424,-38.44323295257875
29,0.0,416.6666666666667,323.75,740.4166666666667,82.81944444444444,-823.2361111111112,0.0,0.0,-823.2361111111112,-740.4166666666667,0.0,21.61134163208852,16.79201244813278,38.4033540802213,4.2956143384047945,-42.698968418626094,0.0,0.0,-42.698968418626094,-38.4033540802213
30,0.0,416.6666666666667,323.75,740.4166666666667,82.81944444444444,-823.2361111111112,0.0,0.0,-823.2361111111112,-740.4166666666667,0.0,21.58894645941278,16.77461139896373,38.36355785837652,4.291162924582613,-42.654720782959124,0.0,0.0,-42.654720782959124,-38.36355785837652
